team,gm,roster_war,ST,IC,K,z_ST,z_IC,z_K,STICK
MIL,Matt Arnold,42.48,279460000.0,1.6033,2.5113,2.0059,1.5256,1.5919,1.779
CHW,Chris Getz,32.14,223230000.0,2.0748,1.5727,1.3943,2.8391,0.9969,1.7483
WSN,Anirudh Kilambi,26.58,168610000.0,2.0523,-1.2587,0.8001,2.7765,-0.7979,1.0734
BOS,Craig Breslow,41.26,197470000.0,1.421,1.4679,1.1141,1.0179,0.9305,1.0485
CLE,Mike Chernoff,33.17,252815000.0,1.2132,-0.369,1.7161,0.4387,-0.2339,0.9429
PIT,Ben Cherington,29.09,176455000.0,1.3067,0.9728,0.8855,0.6992,0.6166,0.7758
TBR,Erik Neander,32.48,219860000.0,1.0018,-0.4057,1.3576,-0.1501,-0.2572,0.5823
CHC,Carter Hawkins,37.17,130315000.0,1.2802,0.7771,0.3836,0.6254,0.4926,0.4779
DET,Jeff Greenberg,32.75,104425000.0,1.3671,1.1186,0.102,0.8675,0.7091,0.4531
MIA,Gabe Kapler,28.87,198065000.0,1.0896,-1.5428,1.1205,0.0945,-0.9779,0.393
ATL,Alex Anthopoulos,39.05,118775000.0,0.8992,2.716,0.2581,-0.4359,1.7216,0.3426
NYY,Brian Cashman,40.71,89545000.0,1.1107,2.2646,-0.0599,0.1531,1.4355,0.3031
LAD,Brandon Gomes,40.73,70335000.0,0.9379,0.6571,-0.2689,-0.3281,0.4165,-0.1496
BAL,Mike Elias,26.3,88650000.0,0.8112,0.461,-0.0696,-0.6812,0.2922,-0.1807
MIN,Jeremy Zoll,22.26,114970000.0,0.6691,-0.0344,0.2167,-1.077,-0.0218,-0.2191
SDP,A.J. Preller,25.93,38035000.0,1.0455,0.6411,-0.6202,-0.0285,0.4064,-0.2374
KCR,J.J. Picollo,24.6,90900000.0,1.1486,-2.3495,-0.0452,0.259,-1.4893,-0.2427
ARI,Mike Hazen,28.06,81070000.0,0.8887,-0.7062,-0.1521,-0.4653,-0.4476,-0.3052
TEX,Ross Fenstermaker,26.6,72500000.0,0.8425,-0.4068,-0.2453,-0.5941,-0.2579,-0.3525
PHI,Preston Mattingly,31.7,19150000.0,0.9778,0.0982,-0.8256,-0.2171,0.0623,-0.4655
COL,Josh Byrnes,12.85,5375000.0,0.9922,0.4559,-0.9755,-0.177,0.289,-0.483
OAK,David Forst,16.61,67995000.0,1.0167,-2.5089,-0.2943,-0.1087,-1.5903,-0.4978
TOR,Ross Atkins,26.66,-15730000.0,0.8014,1.8907,-1.205,-0.7085,1.1985,-0.5754
STL,Mike Girsch,23.17,119715000.0,0.7338,-3.5328,0.2683,-0.8968,-2.2394,-0.5828
SEA,Justin Hollander,22.05,48975000.0,0.6983,-1.4428,-0.5012,-0.9956,-0.9146,-0.7322
LAA,Perry Minasian,19.55,8125000.0,0.8161,-0.8085,-0.9455,-0.6676,-0.5125,-0.7755
HOU,Dana Brown,25.3,-3950000.0,0.6598,0.6298,-1.0769,-1.1031,0.3992,-0.7895
CIN,Brad Meador,18.57,53815000.0,0.7009,-2.8602,-0.4485,-0.9886,-1.813,-0.8835
SFG,Zack Minasian,19.24,-12820000.0,0.7501,-1.2364,-1.1734,-0.8513,-0.7837,-0.9988
NYM,David Stearns,20.8,-154600000.0,0.7607,1.2278,-2.7156,-0.8218,0.7783,-1.4487
