team,manager,PV,mWPA,LOF,RSR,z_PV,z_mWPA,z_LOF,z_RSR,WEAVER
TBR,Kevin Cash,7.0862,2.4491,0.4387,0.48,1.8981,1.3124,1.9538,-0.9487,1.4168
SDP,Craig Stammen,3.6688,3.1676,0.2445,0.5172,1.0032,2.3526,-1.5857,-0.5679,0.9301
HOU,Joe Espada,3.4521,2.0521,0.3193,0.6774,0.9465,0.7376,-0.2225,1.0701,0.7104
PHI,Don Mattingly,3.5,1.3676,0.4375,0.6765,0.959,-0.2535,1.9323,1.0604,0.6908
TEX,Skip Schumaker,3.8475,2.3742,0.2692,0.4583,1.05,1.204,-1.1358,-1.1703,0.554
ARI,Torey Lovullo,2.9434,1.7755,0.3294,0.6667,0.8133,0.3371,-0.0385,0.9601,0.5335
CLE,Stephen Vogt,1.7996,2.0493,0.2848,0.75,0.5138,0.7335,-0.8522,1.8123,0.5156
CIN,Terry Francona,5.7989,0.9259,0.3726,0.6,1.561,-0.8929,0.749,0.2784,0.4521
ATL,Walt Weiss,-1.5379,2.4573,0.3778,0.5769,-0.3602,1.3242,0.8438,0.0424,0.4502
OAK,Mark Kotsay,4.0369,1.3876,0.3181,0.5833,1.0996,-0.2246,-0.2441,0.1079,0.3354
BAL,Craig Albernaz,1.5725,2.0821,0.3033,0.5116,0.4543,0.7811,-0.5147,-0.6253,0.3154
STL,Oliver Marmol,0.9094,1.2643,0.4503,0.5769,0.2806,-0.4031,2.1651,0.0424,0.3002
KCR,Matt Quatraro,1.3455,1.1946,0.3649,0.6923,0.3949,-0.5039,0.6089,1.2223,0.1951
TOR,John Schneider,3.5176,1.3116,0.356,0.4194,0.9636,-0.3345,0.4468,-1.5689,0.1785
MIN,Derek Shelton,2.1469,1.4008,0.303,0.6,0.6047,-0.2054,-0.5189,0.2784,0.12
SEA,Dan Wilson,-1.1033,2.0274,0.3162,0.5526,-0.2464,0.7018,-0.2786,-0.206,0.0847
WSN,Blake Butera,-3.2813,2.3303,0.3055,0.6,-0.8167,1.1404,-0.475,0.2784,0.029
SFG,Tony Vitello,-2.8302,2.1916,0.3737,0.4074,-0.6986,0.9396,0.7688,-1.691,-0.0044
CHW,Will Venable,-1.5148,1.9051,0.3225,0.5,-0.3541,0.5248,-0.1648,-0.7442,-0.0571
NYY,Aaron Boone,-2.8048,1.5349,0.3569,0.6897,-0.692,-0.0113,0.4618,1.1952,-0.0919
MIL,Pat Murphy,-0.8711,1.2324,0.2975,0.7273,-0.1856,-0.4492,-0.6191,1.5798,-0.1663
COL,Warren Schaeffer,-2.6632,1.4131,0.2988,0.625,-0.6549,-0.1875,-0.5971,0.534,-0.3638
BOS,Chad Tracy,-4.6389,1.2964,0.393,0.5417,-1.1722,-0.3566,1.1202,-0.3181,-0.4575
LAD,Dave Roberts,-4.3298,1.2981,0.3632,0.55,-1.0913,-0.3541,0.5781,-0.2329,-0.4971
CHC,Craig Counsell,-1.7561,0.8845,0.2761,0.6,-0.4173,-0.9529,-1.0108,0.2784,-0.6242
NYM,Andy Green,-2.5929,0.7134,0.301,0.6774,-0.6365,-1.2006,-0.5552,1.0701,-0.6511
LAA,Kurt Suzuki,-3.9346,1.2203,0.2654,0.3673,-0.9878,-0.4667,-1.2057,-2.1007,-0.9494
MIA,Clayton McCullough,-1.2276,-0.0416,0.2722,0.6061,-0.279,-2.2938,-1.0814,0.3404,-1.0426
PIT,Don Kelly,-4.1295,0.8482,0.2478,0.4138,-1.0388,-1.0054,-1.5264,-1.6257,-1.159
DET,A.J. Hinch,-11.28,0.1663,0.3863,0.5385,-2.9113,-1.9928,0.998,-0.3509,-1.7474
